# java.version=25.0.2.0.101 tzdata=2026a
America/Regina	America/Regina	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Resolute	America/Resolute	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Rio_Branco	America/Rio_Branco	false	Acre Standard Time	Acre Summer Time	GMT-05:00	GMT-04:00
America/Rosario	America/Rosario	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Santa_Isabel	America/Santa_Isabel	true	Pacific Standard Time	Pacific Daylight Time	PST	PDT
America/Santarem	America/Santarem	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Santiago	America/Santiago	true	Chile Standard Time	Chile Summer Time	GMT-04:00	GMT-03:00
America/Santo_Domingo	America/Santo_Domingo	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Sao_Paulo	America/Sao_Paulo	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Scoresbysund	America/Scoresbysund	true	Greenland Standard Time	Greenland Summer Time	GMT-02:00	GMT-01:00
America/Shiprock	America/Shiprock	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Sitka	America/Sitka	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
America/St_Barthelemy	America/St_Barthelemy	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/St_Johns	America/St_Johns	true	Newfoundland Standard Time	Newfoundland Daylight Time	NST	NDT
America/St_Kitts	America/St_Kitts	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/St_Lucia	America/St_Lucia	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/St_Thomas	America/St_Thomas	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/St_Vincent	America/St_Vincent	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Swift_Current	America/Swift_Current	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Tegucigalpa	America/Tegucigalpa	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Thule	America/Thule	true	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Thunder_Bay	America/Thunder_Bay	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Tijuana	America/Tijuana	true	Pacific Standard Time	Pacific Daylight Time	PST	PDT
America/Toronto	America/Toronto	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Tortola	America/Tortola	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Vancouver	America/Vancouver	true	Pacific Standard Time	Pacific Daylight Time	PST	PDT
America/Virgin	America/Virgin	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Whitehorse	America/Whitehorse	false	Yukon Time	Whitehorse Daylight Time	MST	MST
America/Winnipeg	America/Winnipeg	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Yakutat	America/Yakutat	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
America/Yellowknife	America/Yellowknife	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
Antarctica/Casey	Antarctica/Casey	false	Australian Western Standard Time	Australian Western Daylight Time	AWST	AWDT
Antarctica/Davis	Antarctica/Davis	false	Davis Time	Davis Daylight Time	GMT+07:00	GMT+07:00
Antarctica/DumontDUrville	Antarctica/DumontDUrville	false	Dumont d’Urville Time	Dumont-d’Urville Daylight Time	GMT+10:00	GMT+10:00
Antarctica/Macquarie	Antarctica/Macquarie	true	Australian Eastern Standard Time	Australian Eastern Daylight Time	AEST	AEDT
Antarctica/Mawson	Antarctica/Mawson	false	Mawson Time	Mawson Daylight Time	GMT+05:00	GMT+05:00
Antarctica/McMurdo	Antarctica/McMurdo	true	New Zealand Standard Time	New Zealand Daylight Time	NZST	NZDT
Antarctica/Palmer	Antarctica/Palmer	false	Palmer Standard Time	Palmer Daylight Time	GMT-03:00	GMT-02:00
Antarctica/Rothera	Antarctica/Rothera	false	Rothera Time	Rothera Daylight Time	GMT-03:00	GMT-03:00
Antarctica/South_Pole	Antarctica/South_Pole	true	New Zealand Standard Time	New Zealand Daylight Time	NZST	NZDT
Antarctica/Syowa	Antarctica/Syowa	false	Syowa Time	Syowa Daylight Time	GMT+03:00	GMT+03:00
